King,Jefferson,Clark,Kitsap,Thurston,Snohomish,Yakima,Island,Cowlitz,Stevens,Clallam,Klickitat,State Total
3571.0,43.0,455.0,252,144.0,221.0,15.0,9.0,45.0,1.0,4.0,6.0,4766.0
3693.0,44.0,469.0,259,151.0,228.0,15.0,9.0,46.0,1.0,5.0,6.0,4926.0
3769.0,44.0,484.0,266,154.0,233.0,17.0,9.0,48.0,1.0,5.0,6.0,5036.0
3890.0,44.0,497.0,267,158.0,240.0,17.0,9.0,48.0,1.0,5.0,6.0,5182.0
4055.0,46.0,520.0,270,162.0,248.0,17.0,10.0,49.0,1.0,5.0,6.0,5389.0
4150.0,50.0,535.0,277,164.0,251.0,17.0,10.0,50.0,1.0,5.0,6.0,5516.0
4252.0,51.0,550.0,283,166.0,256.0,17.0,11.0,50.0,1.0,5.0,6.0,5648.0
4394.0,52.0,568.0,290,169.0,265.0,17.0,12.0,51.0,1.0,5.0,6.0,5830.0
4490.0,55.0,583.0,293,171.0,269.0,17.0,12.0,51.0,1.0,5.0,6.0,5953.0
4636.0,56.0,601.0,301,173.0,277.0,17.0,12.0,53.0,1.0,5.0,6.0,6138.0
4756.0,56.0,617.0,308,181.0,286.0,17.0,12.0,55.0,1.0,5.0,6.0,6300.0
4866.0,59.0,630.0,316,182.0,291.0,18.0,12.0,56.0,1.0,5.0,6.0,6442.0
5045.0,59.0,646.0,322,186.0,295.0,19.0,12.0,56.0,1.0,5.0,6.0,6652.0
5191.0,60.0,663.0,329,188.0,304.0,21.0,12.0,56.0,1.0,5.0,6.0,6836.0
5308.0,60.0,683.0,337,193.0,309.0,23.0,13.0,59.0,1.0,5.0,6.0,6997.0
5446.0,63.0,709.0,342,196.0,318.0,23.0,13.0,60.0,1.0,5.0,6.0,7182.0
5594.0,64.0,722.0,352,202.0,327.0,23.0,14.0,61.0,2.0,5.0,6.0,7372.0
5768.0,65.0,760.0,367,209.0,338.0,25.0,14.0,63.0,2.0,5.0,6.0,7622.0
5934.0,65.0,785.0,382,216.0,350.0,25.0,15.0,66.0,2.0,5.0,6.0,7851.0
6157.0,67.0,812.0,390,224.0,370.0,25.0,15.0,70.0,2.0,5.0,6.0,8143.0
6305.0,68.0,829.0,402,227.0,383.0,26.0,15.0,71.0,2.0,5.0,6.0,8339.0
6509.0,71.0,861.0,414,231.0,399.0,26.0,15.0,73.0,2.0,5.0,6.0,8612.0
6744.0,71.0,900.0,426,237.0,418.0,26.0,17.0,76.0,2.0,6.0,6.0,8929.0
6976.0,71.0,924.0,435,242.0,433.0,26.0,19.0,78.0,2.0,6.0,6.0,9218.0
7206.0,74.0,955.0,445,249.0,445.0,29.0,20.0,81.0,2.0,6.0,6.0,9518.0
7416.0,76.0,997.0,457,255.0,462.0,30.0,20.0,82.0,2.0,7.0,6.0,9810.0
7652.0,80.0,1024.0,463,260.0,479.0,32.0,20.0,84.0,2.0,7.0,7.0,10110.0
7884.0,82.0,1047.0,475,264.0,491.0,32.0,20.0,89.0,2.0,7.0,7.0,10400.0
8089.0,85.0,1067.0,482,275.0,505.0,36.0,20.0,91.0,2.0,7.0,7.0,10666.0
8303.0,91.0,1088.0,495,278.0,518.0,37.0,21.0,93.0,2.0,7.0,7.0,10940.0
8526.0,93.0,1121.0,509,285.0,542.0,38.0,23.0,96.0,2.0,7.0,7.0,11249.0
8795.0,95.0,1152.0,517,291.0,558.0,39.0,23.0,98.0,2.0,7.0,7.0,11584.0
9003.0,98.0,1172.0,525,301.0,570.0,39.0,23.0,98.0,3.0,7.0,7.0,11846.0
9205.0,99.0,1198.0,532,310.0,586.0,41.0,23.0,100.0,3.0,10.0,7.0,12114.0
9521.0,102.0,1239.0,551,323.0,602.0,43.0,25.0,104.0,3.0,10.0,7.0,12530.0
9701.0,103.0,1268.0,561,326.0,611.0,45.0,25.0,104.0,3.0,10.0,7.0,12764.0
9951.0,107.0,1309.0,577,343.0,628.0,45.0,25.0,105.0,3.0,11.0,7.0,13111.0
10221.0,108.0,1354.0,590,354.0,645.0,48.0,25.0,110.0,3.0,11.0,7.0,13476.0
10633.0,110.0,1398.0,613,369.0,673.0,48.0,25.0,113.0,3.0,11.0,7.0,14003.0
11006.0,115.0,1447.0,630,376.0,702.0,49.0,26.0,115.0,3.0,13.0,7.0,14489.0
11310.0,118.0,1488.0,644,386.0,725.0,50.0,28.0,120.0,3.0,13.0,7.0,14892.0
11600.0,120.0,1524.0,659,406.0,740.0,52.0,28.0,124.0,4.0,16.0,7.0,15280.0
12008.0,120.0,1571.0,677,414.0,758.0,53.0,30.0,128.0,5.0,17.0,7.0,15788.0
12570.0,128.0,1642.0,702,429.0,794.0,58.0,31.0,130.0,5.0,17.0,8.0,16514.0
